StockCode,Description,Product_Category,Total_Revenue,Total_Quantity_Sold,Total_Orders,Avg_Price,Unique_Customers
21706,"FOLDING UMBRELLA , RED/WHITE SPOT",OTHER,64.35,13,2,4.95,2
21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",OTHER,64.35,13,2,4.95,2
72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,SETS,63.9,14,4,5.35,3
22352,LUNCHBOX WITH CUTLERY RETROSPOT,OTHER,63.75,25,3,2.55,2
20748,KENSINGTON COFFEE SET,SETS,63.75,5,4,12.75,3
21086,SET/6 RED SPOTTY PAPER CUPS,SETS,63.7,98,5,0.65,4
21777,RECIPE BOX WITH METAL HEART,OTHER,63.6,8,3,7.95,2
21353,SILVER SLEIGHBELL  WREATH,OTHER,63.6,8,3,7.95,3
22142,CHRISTMAS CRAFT WHITE FAIRY,SEASONAL,63.41,45,12,1.62,8
21033,JUMBO BAG CHARLIE AND LOLA TOYS,BAGS,62.95,31,2,2.48,2
21431,GREEN GINGHAM FLOWER JEWELLERY BOX,OTHER,62.83,37,8,1.87,6
21143,ANTIQUE GLASS HEART DECORATION,OTHER,62.8,31,4,2.54,3
21740,COSY SLIPPER SHOES LARGE RED,OTHER,62.79,15,6,3.46,5
20770,ABSTRACT CIRCLE JOURNAL,OTHER,61.2,24,2,2.55,2
90090,PINK CRYSTAL HEART PHONE CHARM,OTHER,61.2,144,7,0.85,1
84970S,HANGING HEART ZINC T-LIGHT HOLDER,LIGHTING,61.2,120,7,0.85,6
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT,OTHER,61.2,24,1,2.55,1
21809,CHRISTMAS HANGING TREE WITH BELL,SEASONAL,60.07,47,6,1.47,4
21670,BLUE SPOT CERAMIC DRAWER KNOB,OTHER,60.0,48,4,1.25,3
21121,SET/10 RED SPOTTY PARTY CANDLES,SETS,60.0,48,2,1.25,2
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,OTHER,60.0,48,2,1.25,2
85049E,SCANDINAVIAN REDS RIBBONS,OTHER,60.0,48,5,1.25,5
21761,WOOD AND GLASS MEDICINE CABINET,OTHER,59.9,2,2,29.95,2
21812,GARLAND WITH HEARTS AND BELLS,OTHER,59.89,11,3,6.76,2
21432,SET OF 3 CASES WOODLAND DESIGN,SETS,59.5,10,3,5.95,3
22169,FAMILY ALBUM WHITE PICTURE FRAME,OTHER,59.5,7,3,8.5,3
84948,SILVER HANGING T-LIGHT HOLDER DOME,LIGHTING,59.4,36,2,1.65,2
21711,FOLDING UMBRELLA  WHITE/RED  SPOT,OTHER,59.4,12,1,4.95,1
22195,HEART MEASURING SPOONS LARGE,OTHER,59.4,36,2,1.65,2
21710,FOLDING UMBRELLA  PINK/WHITE  SPOT,OTHER,59.4,12,1,4.95,1
21558,SKULL LUNCHBOX WITH CUTLERY,OTHER,59.21,15,7,4.42,1
21155,RED SPOTTY PEG BAG,BAGS,58.8,28,3,2.1,3
20751,FUNKY WASHING UP GLOVES ASSORTED,OTHER,58.8,28,6,2.1,5
37446,MINI CAKE STAND WITH HANGING CAKES,OTHER,58.46,42,3,2.04,2
22150,3 STRIPEY MICE FELTCRAFT,OTHER,57.35,27,10,2.18,7
21326,AGED GLASS SILVER T-LIGHT HOLDER,LIGHTING,57.2,88,4,0.65,4
71053,WHITE METAL LANTERN,OTHER,57.1,10,5,6.69,2
85067,CREAM SWEETHEART WALL CABINET,OTHER,56.85,3,2,18.95,2
22079,RIBBON REEL HEARTS DESIGN,OTHER,56.36,32,8,1.87,6
22303,COFFEE MUG APPLES DESIGN,OTHER,56.24,20,5,3.07,3
20828,GLITTER BUTTERFLY CLIPS,OTHER,56.17,21,5,3.07,4
21537,RETRO SPOTS PUDDING BOWL,OTHER,55.55,11,4,5.35,3
85112,S/3 TEAR DROP CUT GLASS DECORATION,OTHER,55.14,42,6,1.47,5
85152,HAND OVER THE CHOCOLATE   SIGN,OTHER,54.8,24,5,2.54,4
22174,PHOTO CUBE,OTHER,54.75,17,6,3.13,1
21478,SILVER SKULL HOT WATER BOTTLE,OTHER,54.46,7,5,7.78,0
22297,HEART IVORY TRELLIS SMALL,OTHER,53.96,40,4,1.58,3
22320,BIRDS MOBILE VINTAGE DESIGN,OTHER,53.78,8,4,7.5,3
21556,CERAMIC STRAWBERRY MONEY BOX,OTHER,53.55,21,3,2.55,3
21837,CROSS STITCH ALPHABET CUSHION COVER,OTHER,53.55,9,4,5.95,4
22077,6 RIBBONS RUSTIC CHARM,OTHER,53.45,27,7,2.67,3
22115,METAL SIGN EMPIRE TEA,OTHER,53.24,17,5,3.57,4
20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,SETS,53.24,17,6,3.46,5
84773,RED ROSE AND LACE C/COVER,OTHER,53.1,18,1,2.95,1
47556B,TEA TIME TEA TOWELS,OTHER,53.1,18,6,2.95,5
21429,RED GINGHAM ROSE JEWELLERY BOX,OTHER,52.93,33,8,1.87,7
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,SETS,52.71,39,4,1.58,3
84029C,BROWN FURRY HOT WATER BOTTLE,OTHER,52.5,14,3,3.75,3
21498,RED SPOTS  WRAP,OTHER,52.5,125,4,0.42,4
22178,VICTORIAN GLASS HANGING T-LIGHT,LIGHTING,52.5,42,4,1.25,4
21805,WHITE CHRISTMAS TREE DECORATION,SEASONAL,52.23,119,5,0.51,4
21172,PARTY METAL SIGN,OTHER,52.2,36,3,1.45,3
17181,CIRCLE OF FRIENDS CANDLE HOLDER,OTHER,51.7,10,2,5.17,0
21806,WHITE CHRISTMAS HEART DECORATION,SEASONAL,51.36,118,5,0.51,4
20676,RED SPOTTY BOWL,OTHER,51.25,41,6,1.25,6
47566B,TEA TIME PARTY BUNTING,OTHER,51.15,11,3,4.65,3
21582,KINGS CHOICE SMALL TUBE MATCHES,OTHER,51.15,31,4,1.65,4
21735,TWO DOOR CURIO CABINET,OTHER,51.0,4,2,12.75,2
22196,SMALL HEART MEASURING SPOONS,OTHER,51.0,56,9,0.94,5
22172,METAL SHELF WITH RAIL,OTHER,51.0,6,4,8.5,4
84984D,ORIENTAL RED C/COVER,OTHER,51.0,12,1,4.25,1
21299,EDWARDIAN TOILET ROLL UNIT,OTHER,51.0,4,3,12.75,3
84813,SET OF 4 DIAMOND NAPKIN RINGS,SETS,51.0,4,3,12.75,3
84968B,S/16 VINTAGE IVORY CUTLERY,OTHER,51.0,4,2,12.75,2
84968C,S/16 VINTAGE PISTACHIO CUTLERY,OTHER,51.0,4,1,12.75,1
47504K,ENGLISH ROSE GARDEN SECATEURS,OTHER,50.7,26,2,1.95,2
22143,CHRISTMAS CRAFT HEART DECORATIONS,SEASONAL,50.6,22,7,2.41,6
37502,TEA TIME MUG IN GIFT BOX,GIFTS,50.15,17,3,2.95,3
20972,PINK CREAM FELT CRAFT TRINKET BOX,OTHER,50.07,39,7,1.44,6
20718,RED SPOTTY SHOPPER BAG,BAGS,50.0,40,5,1.25,5
18098C,PORCELAIN BUTTERFLY OIL BURNER,OTHER,49.48,10,6,4.8,0
22166,"WALL MIRROR , RECT DIAMANTE, PINK/",OTHER,49.44,3,3,16.48,0
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,BAGS,49.03,12,5,4.56,4
21243,PINK  SPOTTY PLATE,OTHER,49.01,29,4,1.69,4
47503K,ASSORTED FLORAL SECATEURS,OTHER,48.75,25,2,1.95,1
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,OTHER,48.6,20,7,2.41,4
35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,SEASONAL,48.54,247,4,0.3,4
85231E,STRAWBERRY SCENTED SET/9 T-LIGHTS,LIGHTING,48.45,57,3,0.85,3
21586,KINGS CHOICE GIANT TUBE MATCHES,OTHER,48.45,19,3,2.55,3
21935,SUKI  SHOULDER BAG,BAGS,48.37,25,4,2.09,3
22075,6 RIBBONS ELEGANT CHRISTMAS,SEASONAL,47.85,29,4,1.65,4
21359,RELAX LARGE WOOD LETTERS,OTHER,47.85,3,2,15.95,2
20749,ASSORTED COLOUR MINI CASES,OTHER,47.7,6,3,7.95,3
21524,SPOTTY  HOME SWEET HOME DOORMAT,OTHER,47.62,6,4,8.53,3
22144,CHRISTMAS CRAFT LITTLE FRIENDS,SEASONAL,47.3,13,9,3.81,2
16237,SLEEPING CAT ERASERS,OTHER,47.27,223,5,0.25,4
48195,DOOR MAT GREEN PAISLEY,OTHER,47.25,7,4,6.75,4
21004,ROSE DU SUD CHILDS APRON,OTHER,46.9,10,5,5.13,3
84396,6 HOOK JEWELLERY STAND BLACK DRESS,OTHER,46.8,24,1,1.95,1
85162C,WHITE RETRODISC LAMPSHADE,OTHER,46.8,24,1,1.95,1
21407,BROWN CHECK CAT DOORSTOP,OTHER,46.75,11,4,4.25,4
21638,ASSORTED TUTTI FRUTTI NOTEBOOK,OTHER,46.7,17,3,2.83,2
84472,PINK AND LILAC QUILTED THROW,OTHER,45.95,3,3,45.95,3
20771,CHRYSANTHEMUM  JOURNAL,OTHER,45.9,18,2,2.55,2
21039,RED SPOTTY SHOPPING BAG,BAGS,45.9,18,2,2.55,2
21244,BLUE  SPOTTY PLATE,OTHER,45.63,27,6,1.69,6
21472,LADYBIRD + BEE RAFFIA FOOD COVER,OTHER,45.56,10,5,5.36,3
21781,MA CAMPAGNE CUTLERY BOX,OTHER,45.34,2,2,22.67,1
35951,FOLKART BAUBLE CHRISTMAS DECORATION,SEASONAL,45.13,97,3,3.14,2
20982,12 PENCILS TALL TUBE SKULLS,OTHER,45.05,51,9,0.94,8
21726,MULTI HEARTS  STICKERS,OTHER,45.05,53,2,0.85,2
84873A,FUNKY FLOWER PICNIC BAG FOR 4,BAGS,45.04,4,4,11.26,0
72814,SET/3 CHRISTMAS BRIAR CANDLES,SETS,45.0,12,1,3.75,1
84987,SET OF 36 TEATIME PAPER DOILIES,SETS,44.95,31,5,1.45,5
21685,MEDINA STAMPED METAL TRAY,OTHER,44.85,3,2,14.95,2
21768,WALL MOUNTED VINTAGE ORGANISER,OTHER,44.85,3,3,14.95,3
22153,ANGEL DECORATION STARS ON DRESS,OTHER,44.67,101,3,0.57,2
72529W,WHITE ADVENT CANDLE,OTHER,44.58,20,5,2.56,4
21534,DAIRY MAID LARGE MILK JUG,OTHER,44.55,9,4,4.95,4
21175,GIN + TONIC DIET METAL SIGN,OTHER,44.3,19,6,2.47,5
21818,GLITTER CHRISTMAS HEART,SEASONAL,44.2,52,3,0.85,3
20753,RETRO PINK SPOT WASHING UP GLOVES,OTHER,44.2,20,7,2.41,5
21489,BLUE WHITE SCARF HOT WATER BOTTLE,OTHER,44.2,10,6,4.73,4
72008,FROSTED BOX 9 WHITE T-LIGHT CANDLES,LIGHTING,44.1,105,7,0.42,7
21826,EIGHT PIECE DINOSAUR SET,SETS,44.03,31,4,1.58,3
21122,SET/10 PINK SPOTTY PARTY CANDLES,SETS,43.82,34,8,1.42,7
21488,RED WHITE SCARF  HOT WATER BOTTLE,OTHER,43.45,11,4,3.95,3
79164,BLACK WINE GLASS,OTHER,43.4,2,1,21.7,0
72800E,4 IVORY DINNER CANDLES SILVER FLOCK,OTHER,43.35,17,3,2.55,3
21788,KIDS RAIN MAC BLUE,OTHER,43.35,50,4,1.06,3
84007,MAGIC GARDEN MOUNT FUJI,OTHER,43.35,17,4,2.55,4
22311,OFFICE MUG WARMER BLACK+SILVER,OTHER,43.25,5,3,8.65,0
22340,NOEL GARLAND PAINTED ZINC,OTHER,43.03,25,3,2.24,2
21357,TOAST ITS - DINOSAUR,OTHER,42.78,30,6,1.47,4
22192,BLUE DINER WALL CLOCK,OTHER,42.5,5,3,8.5,3
84692,BOX OF 24 COCKTAIL PARASOLS,OTHER,42.42,101,2,0.42,2
20829,GLITTER HANGING BUTTERFLY STRING,OTHER,42.0,20,5,2.1,5
16169D,WRAP WINTER FOREST,OTHER,42.0,100,4,0.42,4
21624,VINTAGE UNION JACK DOORSTOP,OTHER,41.88,6,4,7.5,3
21789,KIDS RAIN MAC PINK,OTHER,41.65,49,3,0.85,3
35931,PINK STAR CHRISTMAS DECORATION,SEASONAL,41.64,60,2,1.16,2
21329,DINOSAURS  WRITING SET,SETS,41.55,45,5,2.23,3
35979,SIX STRING SCANDINAVIAN HEART DECS,OTHER,41.3,14,3,2.95,3
22080,RIBBON REEL SPOTS DESIGN,OTHER,41.25,25,6,1.65,4
79000,MOROCCAN TEA GLASS,OTHER,41.22,18,3,3.73,0
21349,IVY HEART WREATH,OTHER,40.87,5,3,9.12,2
21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,OTHER,40.8,48,2,0.85,2
90087,CRYSTAL SEA HORSE PHONE CHARM,OTHER,40.8,144,3,0.85,1
85126,LARGE ROUND CUTGLASS CANDLESTICK,OTHER,40.5,6,1,6.75,1
22071,SMALL RETRO SPOT MUG IN BOX  WHITE,OTHER,40.5,42,6,3.58,6
10138,ASSORTED COLOUR JUMBO PEN,OTHER,40.32,96,1,0.42,1
84670,JAPANESE CROCHETED ANIMAL,OTHER,40.32,96,5,0.42,4
21396,RED SPOTTY EGG CUP,OTHER,40.26,20,3,1.98,2
21124,SET/10 BLUE SPOTTY PARTY CANDLES,SETS,40.07,31,5,1.51,4
85222,ASSORTED COLOUR SILK COSMETIC PURSE,OTHER,39.9,19,3,2.1,2
21737,SET 3 WICKER LOG BASKETS,SETS,39.9,2,2,19.95,2
22120,WELCOME  WOODEN BLOCK LETTERS,OTHER,39.8,6,3,9.95,3
79067,CORONA MEXICAN TRAY,OTHER,39.8,8,5,4.73,4
79065A,TEATIME ROUND CAKE TINS,OTHER,39.8,4,1,9.95,1
84988,SET OF 72 PINK HEART PAPER DOILIES,SETS,39.15,27,4,1.45,4
21486,PINK HEART DOTS HOT WATER BOTTLE,OTHER,39.15,10,6,3.84,5
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,OTHER,39.0,60,4,0.65,3
21185,HOME SWEET HOME  BLACKBOARD,OTHER,39.0,3,2,13.0,0
21529,RETRO SPOT CERAMIC TOASTRACK,OTHER,38.82,9,2,4.74,1
85164B,BLACK BAROQUE CUCKOO CLOCK,OTHER,38.79,2,2,19.4,1
85184C,S/4 VALENTINE DECOUPAGE HEART BOX,OTHER,38.77,10,3,3.98,2
21668,RED STRIPE CERAMIC DRAWER KNOB,OTHER,38.75,31,3,1.25,3
84855,BLOKEY SILVER TOOL SET,SETS,38.35,7,5,5.69,4
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,OTHER,38.35,13,3,2.95,3
84837,WHITE SWEETHEARTS CABINET 4 DRAWERS,OTHER,38.25,3,3,12.75,3
21796,SET OF 3 RED STRIPE BASKETS,SETS,38.25,3,1,12.75,1
21795,SET OF 3 BLUE STRIPE BASKET,SETS,38.25,3,1,12.75,1
17003,BROCADE RING PURSE,OTHER,38.22,182,3,0.21,3
21839,MUMMY MOUSE RED GINGHAM RIBBON,OTHER,38.15,7,2,5.45,2
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,OTHER,38.1,6,1,6.35,1
21645,ASSORTED TUTTI FRUTTI ROUND BOX,OTHER,37.95,23,2,1.65,2
90125D,PURPLE BERTIE GLASS BEAD BAG CHARM,BAGS,37.9,17,3,2.83,2
79323B,BLACK CHERRY LIGHTS,LIGHTING,37.65,11,3,6.32,3
21356,TOAST ITS - FAIRY FLOWER,OTHER,37.64,28,6,1.47,4
20963,APPLE BATH SPONGE,OTHER,37.5,30,4,1.25,3
84691,PACK 20 DOLLY PEGS,OTHER,37.4,44,3,0.85,3
21822,GLITTER CHRISTMAS TREE WITH BELLS,SEASONAL,37.05,19,3,1.95,3
22118,JOY WOODEN BLOCK LETTERS,OTHER,36.88,6,4,6.74,2
85031B,BLOSSOM IMAGES SCRAP BOOK SET,SETS,36.86,26,2,2.34,1
21259,VICTORIAN SEWING BOX SMALL,OTHER,36.8,5,4,7.71,2
21980,PACK OF 12 RED SPOTTY TISSUES,OTHER,36.54,126,5,0.29,4
21557,SET OF 6 FUNKY BEAKERS,SETS,36.1,7,3,3.98,2
22302,COFFEE MUG PEARS  DESIGN,OTHER,35.77,13,4,3.2,2
15036,ASSORTED COLOURS SILK FAN,OTHER,35.75,55,2,0.65,2
22336,DOVE DECORATION PAINTED ZINC,OTHER,35.75,52,4,0.81,3
20723,STRAWBERRY CHARLOTTE BAG,BAGS,35.7,42,4,0.85,4
21875,KINGS CHOICE MUG,OTHER,35.61,25,6,1.61,5
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,OTHER,35.54,11,4,3.72,3
21890,S/6 WOODEN SKITTLES IN COTTON BAG,BAGS,35.54,11,5,3.57,4
22085,PAPER CHAIN KIT SKULLS,OTHER,35.4,12,2,2.95,2
20870,OPULENT VELVET CANDLE IN BOX,OTHER,35.1,24,2,1.68,2
22347,PIZZA SLICE DISH,OTHER,35.07,27,5,1.51,4
84926B,SCOTTS ROSES TILE COASTER,OTHER,35.0,28,2,1.25,2
21115,ROSE CARAVAN DOORSTOP,OTHER,34.99,4,3,9.41,1
20983,12 PENCILS TALL TUBE RED SPOTTY,OTHER,34.85,40,6,0.99,5
22156,HEART DECORATION WITH PEARLS,OTHER,34.85,39,3,1.13,2
21528,DAIRY MAID TRADITIONAL TEAPOT,OTHER,34.75,5,3,6.95,3
21813,GARLAND WITH STARS AND BELLS,OTHER,34.65,7,2,4.95,2
47505,MINATURE COLOURED GARDENING SET,SETS,34.65,7,3,4.95,3
20887,BOX OF 6 PEBBLE CANDLES,OTHER,34.57,5,3,6.34,1
20668,DISCO BALL CHRISTMAS DECORATION,SEASONAL,34.56,336,3,0.11,3
22141,CHRISTMAS CRAFT TREE TOP ANGEL,SEASONAL,34.4,8,3,4.3,0
21213,PACK OF 72 SKULL CAKE CASES,OTHER,34.3,61,4,0.74,3
90200D,PINK SWEETHEART BRACELET,OTHER,34.24,14,4,4.27,2
21034,REX CASH+CARRY JUMBO SHOPPER,OTHER,34.2,36,22,0.95,17
48189,DOOR MAT FRIENDSHIP,OTHER,34.12,4,3,9.12,2
20969,RED FLORAL FELTCRAFT SHOULDER BAG,BAGS,34.03,8,3,5.09,2
84934,ASSTD DESIGN POP ART SLIM PEN,OTHER,34.0,40,1,0.85,1
22191,EAU DE NIL DINER WALL CLOCK,OTHER,34.0,4,2,8.5,2
21841,BABY MOUSE RED GINGHAM DRESS,OTHER,34.0,8,2,4.25,2
22201,FRYING PAN BLUE POLKADOT,OTHER,34.0,8,2,4.25,2
20966,SANDWICH BATH SPONGE,OTHER,33.96,24,4,1.58,3
85136A,YELLOW SHARK HELICOPTER,OTHER,33.9,4,3,8.42,1
21647,ASSORTED TUTTI FRUTTI LARGE PURSE,OTHER,33.8,14,2,3.2,1
35955,SMALL FOLKART CHRISTMAS TREE DEC,SEASONAL,33.78,133,3,0.34,2
84797B,BLUE SAVANNAH PICNIC HAMPER FOR 4,OTHER,33.78,3,3,11.26,0
47504E,ENGLISH ROSE SCISSORS,OTHER,33.75,27,3,1.25,3
79323G,GOLD  CHERRY LIGHTS,LIGHTING,33.75,5,1,6.75,1
20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,BAGS,33.75,9,2,3.75,2
21593,SWALLOW CIGAR BOX MATCHES,OTHER,33.75,27,2,1.25,2
20782,CAMOUFLAGE EAR MUFF HEADPHONES,OTHER,33.5,4,3,7.41,2
85064,CREAM SWEETHEART LETTER RACK,OTHER,33.42,4,2,8.36,1
84839,SWEETHEART KEY CABINET,OTHER,33.25,8,5,8.0,3
85018D,YULETIDE IMAGES S/6 PAPER BOXES,OTHER,33.15,13,2,2.55,2
21639,ASSORTED TUTTI FRUTTI KEYRING,OTHER,33.15,44,4,1.06,3
22333,RETRO SPORT PARTY BAG + STICKER SET,SETS,33.0,20,3,1.65,3
79163,BLACK CHAMPAGNE GLASS,OTHER,33.0,20,2,1.65,1
21829,DINOSAUR KEYRINGS ASSORTED,OTHER,32.82,150,4,0.26,3
35004S,SET OF 3 SILVER FLYING DUCKS,SETS,32.65,4,3,10.78,1
84884A,ANT WHITE WIRE HEART SPIRAL,OTHER,32.35,7,3,5.52,2
21291,SMALL SPOTTY CHOCOLATE GIFT BAG,BAGS,32.3,35,2,1.27,1
21328,BALLOONS  WRITING SET,SETS,32.26,12,8,2.76,3
21816,CHRISTMAS TREE T-LIGHT HOLDER,LIGHTING,32.18,20,3,1.98,2
22155,STAR DECORATION RUSTIC,OTHER,32.07,71,4,0.53,3
22338,STAR DECORATION PAINTED ZINC,OTHER,31.85,49,3,0.65,3
22337,ANGEL DECORATION PAINTED ZINC,OTHER,31.85,49,3,0.65,3
21360,JOY LARGE WOOD LETTERS,OTHER,31.65,2,2,15.82,1
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,SETS,31.6,12,3,9.82,3
20977,36 PENCILS TUBE WOODLAND,OTHER,31.6,20,7,1.44,5
90125A,PINK BERTIE GLASS BEAD BAG CHARM,BAGS,31.5,39,4,2.1,2
21908,CHOCOLATE THIS WAY METAL SIGN,OTHER,31.5,15,3,2.1,3
16161U,"WRAP,SUKI AND FRIENDS",OTHER,31.5,75,3,0.42,3
21499,BLUE SPOTS  WRAP,OTHER,31.5,75,3,0.42,3
20777,CHRYSANTHEMUM NOTEBOOK,OTHER,31.35,19,3,1.65,3
21114,LAVENDER SCENTED FABRIC HEART,OTHER,31.25,25,3,1.25,3
21592,RETRO SPOT  CIGAR BOX MATCHES,OTHER,31.25,25,2,1.25,2
22339,CHRISTMAS TREE PAINTED ZINC,SEASONAL,31.2,48,2,0.65,2
21313,GLASS HEART T-LIGHT HOLDER,LIGHTING,30.6,36,2,0.85,2
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,LIGHTING,30.6,12,2,2.55,2
22219,LOVEBIRD HANGING DECORATION WHITE,OTHER,30.6,36,2,0.85,2
21286,RETRO SPOT CANDLE  LARGE,OTHER,30.6,12,1,2.55,1
22149,FELTCRAFT 6 FLOWER FRIENDS,OTHER,30.4,16,6,3.93,1
21820,GLITTER HEART GARLAND WITH BELLS,OTHER,30.28,7,2,5.76,1
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,OTHER,30.24,72,1,0.42,1
21770,OPEN CLOSED METAL SIGN,OTHER,30.19,5,4,6.31,3
79321,CHILLI LIGHTS,LIGHTING,30.19,5,3,6.76,2
22069,BROWN  PIRATE TREASURE CHEST,OTHER,30.09,15,4,2.99,1
21893,POTTING SHED SEED TIN,OTHER,30.05,5,3,7.18,1
22241,"GARLAND , WOODEN  "" HAPPY EASTER""",OTHER,30.0,24,1,1.25,1
22254,FELT TOADSTOOL LARGE,OTHER,30.0,24,2,1.25,1
85178,VICTORIAN SEWING KIT,OTHER,30.0,24,3,1.25,3
75049L,LARGE CIRCULAR MIRROR MOBILE,OTHER,30.0,24,1,1.25,1
21471,STRAWBERRY RAFFIA FOOD COVER,OTHER,30.0,8,3,3.75,3
21618,4 WILDFLOWER BOTANICAL CANDLES,OTHER,30.0,8,2,3.75,2
85049C,ROMANTIC PINKS RIBBONS,OTHER,30.0,24,2,1.25,2
21745,GAOLERS KEYS DECORATIVE GARDEN,OTHER,30.0,8,3,3.75,3
21767,FRENCH STYLE WIRE DOOR CABINET,OTHER,29.95,1,1,29.95,1
84558A,3D DOG PICTURE PLAYING CARDS,OTHER,29.92,7,4,5.27,1
90180A,BLACK+WHITE NECKLACE W TASSEL,OTHER,29.85,3,1,9.95,1
22163,HEART STRING MEMO HOLDER HANGING,OTHER,29.78,8,2,4.5,1
20719,WOODLAND CHARLOTTE BAG,BAGS,29.75,34,5,1.02,4
84709B,PINK OVAL JEWELLED MIRROR,OTHER,29.75,5,2,5.95,2
90145,SILVER HOOP EARRINGS WITH FLOWER,OTHER,29.75,5,2,5.95,2
85125,SMALL ROUND CUT GLASS CANDLESTICK,OTHER,29.7,6,1,4.95,1
35793,S/3 PUPPIES CHRISTMAS DECORATIONS,SEASONAL,29.64,9,2,4.5,1
72799B,PURPLE PILLAR CANDLE BLACK FLOCK,OTHER,29.5,10,1,2.95,1
37450,CERAMIC CAKE BOWL + HANGING CAKES,OTHER,29.5,10,3,2.95,2
20889,JARDIN DE FEMME SCENTED CANDLE,OTHER,29.5,10,2,2.95,2
47568,ENGLISH ROSE DESIGN PEG BAG,BAGS,29.4,14,3,2.1,3
21578,WOODLAND DESIGN  COTTON TOTE BAG,BAGS,29.25,17,4,2.25,3
85049G,CHOCOLATE BOX RIBBONS,OTHER,28.75,23,3,1.25,3
70006,LOVE HEART POCKET WARMER,OTHER,28.57,13,6,2.24,3
84559A,3D SHEET OF DOG STICKERS,OTHER,28.08,32,4,1.07,3
85231G,ORANGE SCENTED SET/9 T-LIGHTS,LIGHTING,28.05,31,7,1.09,5
21162,TOXIC AREA  DOOR HANGER,OTHER,27.55,19,5,1.45,5
84754,S/15 SILVER GLASS BAUBLES IN BAG,BAGS,27.5,22,2,1.25,2
21135,VICTORIAN  METAL POSTCARD SPRING,OTHER,27.04,16,1,1.69,1
85103,SILVER T-LIGHT SETTING,LIGHTING,27.0,6,3,6.75,3
22179,SET 10 LIGHTS NIGHT OWL,LIGHTING,27.0,4,1,6.75,1
21976,PACK OF 60 MUSHROOM CAKE CASES,OTHER,26.95,49,3,0.55,3
85175,CACTI T-LIGHT CANDLES,LIGHTING,26.88,64,1,0.42,1
21467,CHERRY CROCHET FOOD COVER,OTHER,26.81,5,5,5.36,3
21993,FLORAL FOLK STATIONERY SET,SETS,26.69,8,5,3.57,4
84791,GINGHAM HEART DECORATION,OTHER,26.69,8,3,3.98,2
47504F,ENGLISH ROSE TORCH,OTHER,26.4,16,3,1.65,3
22185,SLATE TILE NATURAL HANGING,OTHER,26.4,16,3,1.65,2
21691,SILVER VANILLA FLOWER CANDLE POT,OTHER,26.25,7,2,3.75,2
84596G,SMALL CHOCOLATES PINK BOWL,OTHER,26.25,21,3,1.25,3
20960,WATERMELON BATH SPONGE,OTHER,26.25,21,3,1.25,3
21615,4 LAVENDER BOTANICAL DINNER CANDLES,OTHER,26.25,7,2,3.75,2
47591C,BLUE FAIRY CAKE CHILD'S APRON,OTHER,26.15,11,3,2.73,2
22154,ANGEL DECORATION 3 BUTTONS,OTHER,26.04,62,3,0.42,3
21134,VICTORIAN METAL POSTCARD CHRISTMAS,SEASONAL,26.04,1,1,26.04,0
15059A,ENGLISH ROSE EDWARDIAN PARASOL,OTHER,26.0,2,1,13.0,0
37340,MULTICOLOUR SPRING FLOWER MUG,OTHER,25.95,3,2,8.65,0
84951B,S/4 BLACK LOVEBIRD COASTERS,OTHER,25.85,5,1,5.17,0
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,LIGHTING,25.64,8,3,4.3,1
22030,SWALLOWS GREETING CARD,OTHER,25.62,61,6,0.42,5
21865,PINK UNION JACK  PASSPORT COVER,OTHER,25.6,8,6,3.57,2
21314,SMALL GLASS HEART TRINKET POT,OTHER,25.6,8,2,3.2,1
35646,VINTAGE BEAD PINK EVENING BAG,BAGS,25.5,6,2,4.25,2
84968F,S/16 VINTAGE SKY BLUE CUTLERY,OTHER,25.5,2,1,12.75,1
90148,LONG SILVER NECKLACE PASTEL FLOWER,OTHER,25.5,2,1,12.75,1
84782A,PINK 3 TIER GLASS PLATE STAND,OTHER,25.5,2,1,12.75,1
21746,SMALL RED SPOT  WINDMILL,OTHER,25.28,16,2,1.91,1
35914,PINK CHICK EGG WARMER + EGG CUP,OTHER,25.2,12,1,2.1,1
82597,BOMBS AWAY METAL SIGN,OTHER,25.2,12,1,2.1,1
85053,FRENCH ENAMEL CANDLEHOLDER,OTHER,25.2,12,5,2.1,3
90125C,TURQUOISE BERTIE GLASS BEAD CHARM,OTHER,25.2,12,1,2.1,1
